
2025/04/13 (19:04:48) | ===> btop++ v.1.4.0
2025/04/13 (19:04:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/13 (19:04:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (17:25:11) | ===> btop++ v.1.4.0
2025/04/23 (17:25:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/23 (17:25:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (17:34:40) | ===> btop++ v.1.4.0
2025/04/23 (17:34:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/23 (17:34:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (19:29:02) | ===> btop++ v.1.4.0
2025/04/23 (19:29:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/23 (19:29:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (23:25:54) | ===> btop++ v.1.4.0
2025/04/23 (23:25:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/23 (23:25:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (17:04:55) | ===> btop++ v.1.4.0
2025/04/24 (17:04:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/24 (17:04:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (17:17:13) | ===> btop++ v.1.4.0
2025/04/24 (17:17:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/24 (17:17:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/28 (20:06:21) | ===> btop++ v.1.4.0
2025/04/28 (20:06:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/28 (20:06:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/29 (19:00:14) | ===> btop++ v.1.4.0
2025/04/29 (19:00:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/29 (19:00:14) | WARNING: Intel GPU: Failed to initialize PMU
